run,method,persona,n_outputs,self_bleu,distinct_1,distinct_2,sbert_cosine,sbert_distance,quality,novelty,utility,persona_fidelity,quality_n,novelty_n,utility_n,persona_fidelity_n
qwen25_0p5b,mop_divpo,contrarian,30,0.09403175817446978,0.2924560216508796,0.8373002380142809,0.1807945817708969,0.8192054182291031,3.7777777777777772,3.5,3.5,3.033333333333333,30,30,30,30
qwen25_0p5b,mop_divpo,systems_thinker,30,0.09997282770519071,0.328847969782814,0.8473609129814551,0.1762857437133789,0.8237142562866211,4.155555555555555,3.8,3.6333333333333333,3.533333333333333,30,30,30,30
qwen25_0p5b,mop_divpo,cross_domain_analogist,30,0.06971319920385974,0.3306245646621779,0.8611176057984569,0.14969061315059662,0.8503093868494034,3.9111111111111105,3.8,3.6333333333333333,2.2333333333333334,30,30,30,30
qwen25_0p5b,mop_divpo,minimalist,30,0.0789652645958592,0.44831880448318806,0.9060913705583756,0.16984817385673523,0.8301518261432648,3.8777777777777773,3.466666666666667,3.4,3.3,30,30,30,30
qwen25_0p5b,mop_divpo_v2,contrarian,30,0.09620196100575772,0.30548102721349174,0.8465690053970701,0.1799190193414688,0.8200809806585312,3.9555555555555544,3.5,3.566666666666667,2.9,30,30,30,30
qwen25_0p5b,mop_divpo_v2,systems_thinker,30,0.07796665028513197,0.3513444951801116,0.8640081799591002,0.1606743484735489,0.8393256515264511,3.8111111111111104,3.7,3.4,3.4,30,30,30,30
qwen25_0p5b,mop_divpo_v2,cross_domain_analogist,30,0.07663399038710296,0.35843714609286526,0.8786407766990292,0.15770085155963898,0.842299148440361,4.022222222222221,3.966666666666667,3.6,2.7333333333333334,30,30,30,30
qwen25_0p5b,mop_divpo_v2,minimalist,30,0.06844665385746977,0.4590443686006826,0.9189814814814815,0.17222799360752106,0.8277720063924789,4.033333333333333,3.433333333333333,3.6333333333333333,3.2,30,30,30,30
qwen25_0p5b,mop_sft,contrarian,30,0.11496223162016309,0.28576169930302026,0.813945692256118,0.14343827962875366,0.8565617203712463,2.3666666666666667,4.466666666666667,1.9,2.6333333333333333,30,30,30,30
qwen25_0p5b,mop_sft,systems_thinker,30,0.09675278942643767,0.2588961510530138,0.7971887550200804,0.09978760778903961,0.9002123922109604,2.566666666666666,4.733333333333333,2.3666666666666667,2.2666666666666666,30,30,30,30
qwen25_0p5b,mop_sft,cross_domain_analogist,30,0.0782070346853974,0.32384090374205693,0.8535197914197677,0.1191658228635788,0.8808341771364212,2.6777777777777776,4.866666666666666,2.433333333333333,1.3333333333333333,30,30,30,30
qwen25_0p5b,mop_sft,minimalist,30,0.07777562319357205,0.467828418230563,0.9175977653631285,0.14954248070716858,0.8504575192928314,2.9222222222222216,4.733333333333333,2.533333333333333,2.533333333333333,30,30,30,30
qwen25_0p5b,prompt_only,contrarian,30,0.0778546301160365,0.33365223630710356,0.8744880751626114,0.16212411224842072,0.8378758877515793,4.144444444444443,3.2,3.6333333333333333,3.033333333333333,30,30,30,30
qwen25_0p5b,prompt_only,systems_thinker,30,0.09910670256071258,0.3228287841191067,0.841,0.16623196005821228,0.8337680399417877,4.055555555555555,3.466666666666667,3.566666666666667,3.3333333333333335,30,30,30,30
qwen25_0p5b,prompt_only,cross_domain_analogist,30,0.07921528338889852,0.35368098159509204,0.8755417956656347,0.16295360028743744,0.8370463997125626,3.9555555555555557,3.8,3.6666666666666665,2.6,30,30,30,30
qwen25_0p5b,prompt_only,minimalist,30,0.0657603647071791,0.4722589167767503,0.9204851752021563,0.1551074981689453,0.8448925018310547,3.744444444444445,3.3666666666666667,3.3,3.2,30,30,30,30
qwen25_0p5b,single_lora,contrarian,30,0.11468409128708189,0.2768304914744233,0.7926376224248565,0.13402672111988068,0.8659732788801193,2.4444444444444446,4.533333333333333,2.1666666666666665,2.2666666666666666,30,30,30,30
qwen25_0p5b,single_lora,systems_thinker,30,0.09391301332952623,0.34049360146252283,0.8475440222428174,0.12537351250648499,0.874626487493515,2.722222222222222,4.733333333333333,2.466666666666667,1.6666666666666667,30,30,30,30
qwen25_0p5b,single_lora,cross_domain_analogist,30,0.09111796963702408,0.33273462056578357,0.8629949931725079,0.12605276703834534,0.8739472329616547,2.5666666666666673,4.733333333333333,2.2333333333333334,1.5666666666666667,30,30,30,30
